Name,Covering,Drying_Temp,Mold_Substrate,Film#,OTR_mean,OTR_std,OP_mean,OP_std,WVTR_mean,WVTR_std,N_WVTR_mean,N_WVTR_std,Thickness_mean,Thickness_std
1:1 CNC/ChNC-CS,0.0,23.0,ps,1,23.3,0.0,11.0,0.0,3430.0,0.0,160.0,0.0,48.0,0.0
1:1 CNC/ChNF-CP,0.0,23.0,ps,2,45.5,0.0,14.0,0.0,5760.0,0.0,190.0,0.0,32.25,1.5
1:1 CNC/ChNF-CP,1.0,23.0,glass,1,21.67,4.06,8.15,1.35,9740.0,1093.43,366.67,20.82,36.71,3.73
1:1 CNC/ChNF-CP-100-3,1.0,23.0,glass,2,11.81,3.29,4.4,1.3,6730.0,0.0,260.0,0.0,38.0,1.15
1:1 CNC/ChNF-CP-2,1.0,23.0,glass,2,4.92,2.32,1.88,0.85,2675.0,586.9,103.0,24.04,38.67,1.0
1:1 CNC/ChNF-CP-2,1.0,23.0,ps,3,5.95,0.21,1.95,0.07,2732.5,516.87,102.25,12.12,35.86,3.02
1:1 CNC/ChNF-CP-2,1.0,23.0,ptfe,1,4.25,0.21,2.2,0.14,3140.0,0.0,160.0,0.0,52.0,0.0
1:1 CNC/ChNF-CP-2,1.0,50.0,glass,2,12.16,7.4,5.9,2.93,2375.0,49.5,130.0,28.28,52.0,9.49
1:1 CNC/ChNF-CP-2,1.0,50.0,ps,1,11.1,1.56,4.35,0.64,3210.0,0.0,130.0,0.0,37.0,3.29
1:1 CNC/ChNF-CP-2-100-3,1.0,23.0,glass,3,4.17,1.1,1.6,0.44,2245.0,243.1,86.5,10.28,39.11,1.05
1:1 CNC/ChNF-CP-2-100-3,1.0,23.0,ps,2,26.65,5.16,8.7,1.7,2790.0,141.42,97.0,4.24,34.0,1.15
1:1 CNC/ChNF-CP-2/Al,1.0,23.0,ps,2,11.5,0.0,4.41,0.0,4528.0,442.4,177.8,22.08,39.62,1.19
1:1 CNC/ChNF-CP-2/Ca,1.0,23.0,ps,1,4.18,0.88,1.35,0.21,2846.67,45.09,93.67,1.53,32.6,0.55
1:1 CNC/ChNF-CS,0.0,23.0,ps,3,13.6,0.0,4.7,0.0,4515.0,304.06,169.5,14.85,35.22,2.54
1:1 CNC/ChNF-CS,1.0,23.0,glass,1,21.13,8.58,9.27,3.9,6576.67,623.08,276.67,30.55,42.5,0.55
1:1 CNC/ChNF-CS,1.0,23.0,ps,2,11.62,2.38,3.9,0.85,2965.0,332.34,94.5,6.36,32.67,1.37
1:1 CNC/ChNF-CS,1.0,60.0,ps,2,11.75,0.21,4.25,0.07,4323.33,851.96,166.67,36.96,37.86,1.07
1:1 CNC/ChNF-EL,1.0,23.0,ps,4,1.52,0.36,0.53,0.15,1445.0,7.07,46.0,0.0,33.67,2.6
1:1 CNC/ChNF-EL/10CA,1.0,60.0,ps,2,3.16,1.07,1.3,0.28,1155.0,7.07,50.0,4.24,43.0,3.29
1:1 CNC/ChNF-EL/20CA,1.0,60.0,ps,2,1.35,0.0,0.71,0.0,865.0,0.0,46.0,0.0,52.2,1.79
1:1 CNC/ChNF-EL/30CA,1.0,60.0,ps,3,1.3,0.15,0.56,0.06,454.33,17.21,20.67,1.53,45.2,2.53
1:1 CNC/ChNF-EL/30CA-120-3,1.0,60.0,ps,1,15.75,2.19,6.85,0.92,350.0,0.0,15.0,0.0,44.0,0.0
1:1 CNC/ChNF-EL/30CA/PLA,0.0,50.0,PLA,1,158.5,21.92,54.5,7.78,216.0,0.0,7.5,0.0,35.0,0.0
1:1 CNC/ChNF-EL/50CA,1.0,60.0,ps,2,1.61,0.0,0.78,0.0,24.0,8.49,1.19,0.44,49.67,1.15
1:1 CNC/ChNF-EL/PLA-15L,0.0,50.0,PLA,1,2.52,0.0,1.1,0.0,133.5,2.12,6.05,0.07,45.0,0.0
1:1 CNC/ChNF-EL/PLA-3L,0.0,50.0,PLA,1,16.2,2.26,5.6,0.85,169.0,0.0,5.9,0.0,35.0,0.0
1:1 CNC/ChNF-EL/PLA-6L,0.0,50.0,PLA,1,3.0,0.0,1.1,0.0,151.0,2.83,5.75,0.07,38.0,0.0
1:1 CNC/ChNF-EL/PLA-6L-120-3,0.0,50.0,PLA,1,1.98,0.0,0.74,0.0,137.0,0.0,5.2,0.0,38.0,0.0
1:1 CNC/ChNF-H,0.0,23.0,ps,2,13.95,1.63,4.85,0.07,3540.0,298.66,115.67,7.37,34.67,3.28
1:1 CNC/ChNF-H,1.0,23.0,ps,3,7.02,0.26,2.1,0.1,3650.0,0.0,95.0,0.0,29.91,2.34
1:1 CNC/ChNF-H,1.0,60.0,ps,2,6.15,0.1,2.8,0.14,3565.0,756.6,166.5,30.41,46.67,1.63
1:1 CNC/ChNF-L,0.0,23.0,ps,2,17.98,23.08,6.8,8.78,2170.0,0.0,67.0,0.0,33.6,3.71
